Target,Res,Run,LTarget,LRes
0.5,0.5215,1,-0.301029996,-0.282745687
0.5,0.5026,1,-0.301029996,-0.298777516
0.71,0.7558,1,-0.148741651,-0.121593112
0.71,0.7082,1,-0.148741651,-0.149844078
1,1.1052,1,0,0.043440876
1,1.1551,1,0,0.062619584
1.41,1.522,1,0.149219113,0.182414652
1.41,1.5164,1,0.149219113,0.180813776
2,2.3529,1,0.301029996,0.37160347
2,2.2307,1,0.301029996,0.348441167
0.5,0.4532,2,-0.301029996,-0.343710099
0.5,0.4497,2,-0.301029996,-0.347077112
0.71,0.6689,2,-0.148741651,-0.174638804
0.71,0.6182,2,-0.148741651,-0.208870999
1,0.9774,2,0,-0.009927665
1,0.8774,2,0,-0.05680237
1.41,1.2811,2,0.149219113,0.107583031
1.41,1.3285,2,0.149219113,0.123361559
2,1.8883,2,0.301029996,0.276070993
2,1.9813,2,0.301029996,0.29695024
0.5,0.5667,3,-0.301029996,-0.246646787
0.5,0.5581,3,-0.301029996,-0.253287977
0.71,0.6843,3,-0.148741651,-0.16475346
0.71,0.8217,3,-0.148741651,-0.085286713
1,1.1527,3,0,0.061716293
1,1.1074,3,0,0.044304519
1.41,1.5262,3,0.149219113,0.183611449
1.41,1.5584,3,0.149219113,0.19267894
2,2.3501,3,0.301029996,0.371086342
2,2.4013,3,0.301029996,0.380446421
0.5,0.5054,4,-0.301029996,-0.296364762
0.5,0.535,4,-0.301029996,-0.271646218
0.71,0.705,4,-0.148741651,-0.151810883
0.71,0.7143,4,-0.148741651,-0.14611935
1,0.9901,4,0,-0.004320939
1,1.0391,4,0,0.016657345
1.41,1.4476,4,0.149219113,0.160648574
1.41,1.4184,4,0.149219113,0.151798723
2,2.2906,4,0.301029996,0.359949256
2,2.1725,4,0.301029996,0.336959785
0.5,0.5222,5,-0.301029996,-0.282163133
0.5,0.5017,5,-0.301029996,-0.299555899
0.71,0.6991,5,-0.148741651,-0.155460698
0.71,0.6421,5,-0.148741651,-0.19239733
1,1.089,5,0,0.03702788
1,0.9233,5,0,-0.034657164
1.41,1.4199,5,0.149219113,0.152257759
1.41,1.4025,5,0.149219113,0.14690287
2,2.2402,5,0.301029996,0.350286793
2,2.0966,5,0.301029996,0.321515581
0.5,0.5179,6,-0.301029996,-0.285754089
0.5,0.5077,6,-0.301029996,-0.294392837
0.71,0.7463,6,-0.148741651,-0.127086558
0.71,0.6877,6,-0.148741651,-0.162600976
1,1.0314,6,0,0.013427127
1,1.0318,6,0,0.013595524
1.41,1.3471,6,0.149219113,0.129399836
1.41,1.4255,6,0.149219113,0.153967222
2,2.1364,6,0.301029996,0.329682569
2,2.1497,6,0.301029996,0.332377856
0.5,0.5314,7,-0.301029996,-0.27457845
0.5,0.5411,7,-0.301029996,-0.266722466
0.71,0.6928,7,-0.148741651,-0.159392121
0.71,0.7688,7,-0.148741651,-0.114186625
1,1.1459,7,0,0.059146719
1,1.1184,7,0,0.048597158
1.41,1.4662,7,0.149219113,0.166193215
1.41,1.5495,7,0.149219113,0.190191581
2,2.3711,7,0.301029996,0.374949871
2,2.1708,7,0.301029996,0.336619813
0.5,0.5112,8,-0.301029996,-0.291409155
0.5,0.5488,8,-0.301029996,-0.260585897
0.71,0.74,8,-0.148741651,-0.13076828
0.71,0.7399,8,-0.148741651,-0.130826973
1,1.0273,8,0,0.011697288
1,1.073,8,0,0.030599722
1.41,1.5035,8,0.149219113,0.177103432
1.41,1.5422,8,0.149219113,0.188140699
2,2.042,8,0.301029996,0.310055738
2,2.3126,8,0.301029996,0.364100521
